таң,білінгеннен,бастап,ымырт,қараңғысына,1
көлік,болмады,.,Сол,түні,1
Аян,тобығын,қайтып,орнына,салдарған,1
әрқайсымыз,өзімізше,сөз,етіп,",",1
қыстың,сайсүйектен,өтіп,дірдектеткен,ызғарлы,1
.,Сәлден,кейін,басқа,сөздің,1
арманымыз,еді,.,Сонымызды,сезгендей,1
қолына,қарады,да,қызараңдап,тұрып,1
те,",",оған,пәлендей,мән,1
сорумен-ақ,тауыстық,.,Келесі,күні,1
басын,бұрып,әкетті,.,Іргеге,1
Аян,тырс,етіп,үн,шығармастан,1
.,Ал,тірі,болса,Жусандытөбеге,1
ызғарлы,суығын,ұмытып,",",ішекті,1
басынан,тоқай,алып,жылатып,жіберетін,1
былшылдатып,соға,бастады,.,Аян,1
деді,.,–,Иә,",",2
бірге,көрсең,етті,...,Жаны,1
ұзақ-ұзақ,иіскедім,...,Әжем,ылғи,1
басты,.,Бірақ,қанша,күшенгенімен,1
бала,тұр,екен,.,Біз,1
шетіндегі,сай-саланы,",",жыра-құзды,тегіс,1
кейін,темекіні,мен,де,сұрап,1
–,деді,.,Осы,кезде,1
кімдікі,қара,",",кімдікі,ақ,1
Мен,әлі,бәріңе,хат,жазып,1
жалғыз,қалды,.,Ол,бұл,1
кеп,",",әдетінше,алыс-жұлысты,сырттай,1
бұрынғыдан,да,ұзағырақ,жатты,.,1
сенің,тісің,бар,ғой,»,1
үйіміз,темекі,ұрлап,жүргенімізді,біліп,1
тұмсығымызды,тығып,",",өзіміздің,иісімізді,1
шыққан,ащы,дауыстар,селт,еткізді,1
.,Бір,күні,күн,бұлттанып,1
қан-қан,болып,атып,тұрып,",",1
",",–,деп,қиялдайтын,сияқты,1
ұзын,соқа,тартуға,дәрмендері,зорға,1
–,Ал,мен,бар,ғой,1
қолымыз,темекі,орауға,икемге,келмей,1
амалсыз,бергендей,болушы,едік,.,1
сорғызды,.,Қосым,қомағайлана,түтінді,1
.,Бұл,кезде,қыс,түсіп,1
дегенде,",",жетім,бала,көзін,1
Менің,көкем,де,жоқ,",",1
.,–,Сырғанақ,деген,немене,1
шықпыртыпшықпыртып,жібереді,де,:,–,1
біраз,жерге,апарып,кеу-кеулеп,алдық,1
өзін,біраз,жерге,апарып,кеу-кеулеп,1
жолы,Аянның,тобығы,тайып,бір,1
Сайға,түскен,соң,Аян,жейдесін,1
бастаған,",",біз,бір,топ,1
Ой,",",қойшы,",",ондай,1
қатты,батып,еді,.,Тағдыр,1
әйтеуір,адамға,тән,не,бір,1
көшті,.,Біз,көшеде,сырғанақ,1
.,–,Ә,...,Мен,1
жұмсағанда,тілін,қайырған,талай,әйелдер,1
қол-аяғы,қара,қайыстай,қатқан,ұзын,1
.,Жетім,бала,қотыр,тайдың,1
қазбалап,ойлай,түсуге,не,өреміз,1
–,деп,қойды,үлкен,кісіше,1
көпке,дейін,иісін,иіскеп,жатқам,1
бастап,Аянмен,етене,жақын,дос,1
",",кемпір,",",мына,жиен,1
әріптерді,үйрете,бастады,.,Аян,1
түнде,әлгі,бір,ғана,шананың,1
жусанның,иісі,содан,қалған,...,1
–,деген,Аян,тағы,да,1
Алыстағы,бауырдан,хат,алудың,қиыны-ай,1
әрқайсысының,келуі,ауыл,үшін,үлкен,1
тағы,жақты,.,–,Жүр,1
",",бірақ,шикі,дәмі,білініп,1
күні,кешкісін,ғана,тұқым,тартқан,1
:,«,Ағатайлап,»,шыңғырған,1
өткенімізге,көңілі,толмай,:,–,1
құрап,",",жаза,алатындай,халге,1
жоқ,.,Түн,жарымынсыз,бір,1
батқан,күйде,төмендегі,үңірейе,қарауытып,1
?,!,–,дейтін,мұрнын,1
тұр,...,Түнде,тебуге,жарамайды,1
қалай,тарту,керек,»,дегендей,1
.,Бірде,Аян,өрістен,мал,1
Арт,жағы,аласа,тас,қораның,1
",",ес,қалмай,далбақтап,жүгіріп,1
от,жағып,отырып,",",білдіртпей,1
Тағы,да,жақ,жаппастан,",",1
.,Бапайдың,кемпірі,шалы,екеуіне,1
ұясына,қонуға,таянған,.,Сірескен,1
«,ағаңды,анау,Жусантөбенің,үстінде,1
тұрды,.,Бірде,менің,көк,1
қайтқанда,",",Аян,әжесінің,қабірінің,1
",",ондайлардан,сырт,айналып,кетіп,1
ентігіп,",",алабұртып,",",елден,1
ең,.,Ой,есіркі,!,1
шыққан,даусында,өз,айтқанына,қалайда,1
шығады,.,–,Қандай,сүйкімді-ей,1
қама,!,Биені,суғарып,шөп,1
болуы,тиіс,.,Ондай,бала,1
үнмен,сызылтып,қана,:,Көкше,1
қарай,жұлдыздай,ақты,.,Дәл,1
